0,0
1,339.973
2,668.421
3,985.344
4,1290.74
5,1584.62
6,1866.97
7,2137.79
8,2397.09
9,2644.87
10,2881.12
11,3105.85
12,3319.05
13,3520.73
14,3710.88
15,3889.51
16,4056.62
17,4212.2
18,4356.25
19,4488.78
20,4609.79
21,4719.27
22,4817.23
23,4903.66
24,4978.57
25,5041.95
26,5093.81
27,5134.14
28,5162.95
29,5180.24
30,5186.
31,5180.24
32,5162.95
33,5134.13
34,5093.8
35,5041.93
36,4978.55
37,4903.64
38,4817.2
39,4719.24
40,4609.76
41,4488.75
42,4356.21
43,4212.15
44,4056.57
45,3889.46
46,3710.83
47,3520.67
48,3318.99
49,3105.79
50,2881.06
51,2644.8
52,2397.02
53,2137.72
54,1866.89
55,1584.53
56,1290.66
57,985.254
58,668.328
59,339.876
60,0
